food_code,name,group,kcal,protein_g,fat_g,satfat_g,carbs_g,sugars_g,fibre_g,salt_g
13-096,"Beans, mung, whole, dried, raw",DB,279,23.9,1.1,0.3,46.3,1.5,10.0,0.03
13-100,"Beans, papri, raw",DB,40,5.4,0.3,0.0,4.2,1.8,0.0,0.002
13-105,"Beans, pigeon peas, dahl, dried, boiled in unsalted water",DB,118,8.7,0.5,0.1,21.2,0.6,0.0,0.035
13-104,"Beans, pigeon peas, dahl, dried, raw",DB,324,21.8,1.9,0.4,58.6,1.7,0.0,0.095
13-103,"Beans, pigeon peas, whole, dried, boiled in unsalted water",DB,117,8.5,0.5,0.1,21.2,0.6,0.0,0.035
13-102,"Beans, pigeon peas, whole, dried, raw",DB,317,20.0,1.9,0.4,58.6,1.7,0.0,0.095
13-107,"Beans, pinto, dried, boiled in unsalted water",DB,137,8.9,0.7,0.1,23.9,0.0,0.0,0.002
13-106,"Beans, pinto, dried, raw",DB,327,21.1,1.6,0.2,57.1,0.0,0.0,0.025
13-108,"Beans, pinto, re-fried beans",DB,107,6.2,1.1,0.0,15.3,0.0,0.0,1.05
13-660,"Beans, red kidney, canned in water, re-heated, drained",DB,100,8.6,1.0,0.2,15.1,0.8,6.8,0.0
13-659,"Beans, red kidney, dried, boiled in unsalted water",DB,100,8.6,1.0,0.2,15.1,0.8,11.1,0.0
13-109,"Beans, red kidney, dried, raw",DB,266,22.1,1.4,0.2,44.1,2.5,15.7,0.045
13-654,"Beans, runner, boiled in unsalted water",DB,16,1.1,0.5,0.1,1.9,1.6,2.2,0.0
13-112,"Beans, runner, raw",DB,22,1.6,0.4,0.1,3.2,2.8,2.0,0.0
13-116,"Beans, soya, dried, boiled in unsalted water",DB,141,14.0,7.3,0.9,5.1,2.1,6.1,0.002
13-115,"Beans, soya, dried, raw",DB,370,35.9,18.6,2.3,15.8,5.5,15.7,0.012
13-117,"Beans, sword, raw",DB,41,2.5,0.3,0.0,7.2,0.0,0.0,0.072
13-580,"Beansprouts, mung, boiled in unsalted water",DB,25,2.5,0.5,0.1,2.8,1.4,1.3,0.01
13-426,"Beansprouts, mung, raw",DB,31,2.9,0.5,0.1,4.0,2.2,1.5,0.012
13-567,"Beansprouts, mung, stir-fried in rapeseed oil",DB,72,1.9,6.1,0.47,2.5,1.4,0.9,0.008
19-471,"Beef bourguignon, homemade",MR,140,13.8,6.2,2.09,2.5,0.9,0.4,0.595
19-548,"Beef bourguignonne, made with lean beef, homemade",MR,105,14.1,4.2,1.25,2.5,0.8,0.5,0.582
17-514,Beef extract,WY,179,40.4,0.6,0.0,3.2,0.4,0.0,10.925
19-588,"Beef olives, homemade",MR,159,13.9,11.0,4.07,1.6,0.3,0.2,1.092
19-589,"Beef steak pudding, homemade",MR,207,11.5,10.2,5.41,18.7,0.8,1.1,0.205
19-551,"Beef Stroganoff, homemade",MR,171,15.3,11.2,6.22,2.5,2.1,0.6,0.135
19-552,"Beef Wellington, homemade",MR,356,16.3,25.5,10.19,16.2,0.7,1.4,0.742
18-009,"Beef, braising steak, braised, lean and fat",MAC,246,32.9,12.7,5.3,0.0,0.0,0.0,0.15
18-008,"Beef, braising steak, braised, lean only",MAC,225,34.4,9.7,4.1,0.0,0.0,0.0,0.155
18-006,"Beef, braising steak, raw, lean",MAC,139,21.8,5.7,2.4,0.0,0.0,0.0,0.16
18-007,"Beef, braising steak, raw, lean and fat",MAC,160,20.7,8.6,3.8,0.0,0.0,0.0,0.15
18-010,"Beef, braising steak, slow cooked, lean",MAC,197,31.4,7.9,3.4,0.0,0.0,0.0,0.132
18-011,"Beef, braising steak, slow cooked, lean and fat",MAC,217,29.0,11.2,4.8,0.0,0.0,0.0,0.125
18-014,"Beef, brisket, boiled, lean",MAC,225,31.4,11.0,4.6,0.0,0.0,0.0,0.125
18-015,"Beef, brisket, boiled, lean and fat",MAC,268,27.8,17.4,7.2,0.0,0.0,0.0,0.115
18-012,"Beef, brisket, raw, lean",MAC,139,21.1,6.1,2.5,0.0,0.0,0.0,0.148
18-013,"Beef, brisket, raw, lean and fat",MAC,218,18.4,16.0,6.7,0.0,0.0,0.0,0.125
18-005,"Beef, fat, average, cooked",MAC,533,15.5,52.3,24.3,0.0,0.0,0.0,0.088
18-003,"Beef, fat, average, raw",MAC,558,18.9,53.6,24.9,0.0,0.0,0.0,0.065
18-004,"Beef, fat, average, raw, extra trimmed",MAC,677,6.8,72.2,33.4,0.0,0.0,0.0,0.0
18-018,"Beef, fillet steak, fried in corn oil, lean",MAC,184,28.2,7.9,3.4,0.0,0.0,0.0,0.17
18-019,"Beef, fillet steak, fried in corn oil, lean and fat",MAC,192,28.0,8.9,3.9,0.0,0.0,0.0,0.168
18-022,"Beef, fillet steak, from steakhouse, lean",MAC,178,28.7,7.0,3.2,0.0,0.0,0.0,0.152
18-023,"Beef, fillet steak, from steakhouse, lean and fat",MAC,184,28.5,7.8,3.6,0.0,0.0,0.0,0.152
18-020,"Beef, fillet steak, grilled, lean",MAC,188,29.1,8.0,3.6,0.0,0.0,0.0,0.175
18-021,"Beef, fillet steak, grilled, lean and fat",MAC,200,28.7,9.5,4.4,0.0,0.0,0.0,0.168
18-016,"Beef, fillet steak, raw, lean",MAC,140,21.2,6.1,2.8,0.0,0.0,0.0,0.11
18-017,"Beef, fillet steak, raw, lean and fat",MAC,155,20.9,7.9,3.8,0.0,0.0,0.0,0.108
18-026,"Beef, flank, pot-roasted, lean",MAC,253,31.8,14.0,5.7,0.0,0.0,0.0,0.128
18-027,"Beef, flank, pot-roasted, lean and fat",MAC,309,27.1,22.3,9.1,0.0,0.0,0.0,0.112
18-024,"Beef, flank, raw, lean",MAC,175,22.7,9.3,3.8,0.0,0.0,0.0,0.16
18-025,"Beef, flank, raw, lean and fat",MAC,266,19.7,20.8,8.7,0.0,0.0,0.0,0.135
18-030,"Beef, fore-rib/rib-roast, microwaved, lean",MAC,243,35.0,11.4,5.0,0.0,0.0,0.0,0.15
18-031,"Beef, fore-rib/rib-roast, microwaved, lean and fat",MAC,306,30.4,20.5,9.2,0.0,0.0,0.0,0.135
18-032,"Beef, fore-rib/rib-roast, microwaved, lean and fat, weighed with bone",MAC,254,25.2,17.0,7.7,0.0,0.0,0.0,0.112
18-028,"Beef, fore-rib/rib-roast, raw, lean",MAC,145,21.5,6.5,2.9,0.0,0.0,0.0,0.152
18-029,"Beef, fore-rib/rib-roast, raw, lean and fat",MAC,253,18.8,19.8,8.9,0.0,0.0,0.0,0.13
18-033,"Beef, fore-rib/rib-roast, roasted, lean",MAC,236,33.3,11.4,5.1,0.0,0.0,0.0,0.142
18-034,"Beef, fore-rib/rib-roast, roasted, lean and fat",MAC,300,29.1,20.4,9.2,0.0,0.0,0.0,0.135
18-035,"Beef, fore-rib/rib-roast, roasted, lean and fat, weighed with bone",MAC,252,24.4,17.1,7.7,0.0,0.0,0.0,0.108
18-468,"Beef, lean, average, raw",MAC,129,22.5,4.3,1.74,0.0,0.0,0.0,0.158
18-002,"Beef, lean, average, raw, extra trimmed",MAC,132,21.6,5.1,2.0,0.0,0.0,0.0,0.0
18-042,"Beef, mince patties, barbecued",MAC,264,29.6,16.2,7.1,0.0,0.0,0.0,0.245
18-507,"Beef, mince, extra lean, stewed",MAC,137,24.7,4.2,1.83,0.0,0.0,0.0,0.188
18-039,"Beef, mince, frozen, stewed",MAC,204,19.3,14.1,6.2,0.0,0.0,0.0,0.155
